         328 function calls in 0.002 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.002    0.002 d:\Documents\2019Spring\RandomAlgorithm\Labs\Lab1\src\round_trip.py:28(round_trip)
        1    0.000    0.000    0.001    0.001 d:\Documents\2019Spring\RandomAlgorithm\Labs\Lab1\src\naive.py:9(run)
        2    0.000    0.000    0.001    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:1971(warning)
        2    0.000    0.000    0.001    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:1385(warning)
        2    0.000    0.000    0.000    0.000 {built-in method io.open}
        2    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:1496(_log)
        1    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:1074(__init__)
        1    0.000    0.000    0.000    0.000 d:\Documents\2019Spring\RandomAlgorithm\Labs\Lab1\src\data_reader.py:16(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:1116(_open)
        2    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:1521(handle)
        2    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:1575(callHandlers)
        2    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:892(handle)
        2    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:1123(emit)
        2    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:1022(emit)
        2    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:1011(flush)
        2    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
        2    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:1481(makeRecord)
        2    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:293(__init__)
        2    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\pathlib.py:644(_from_parts)
        2    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\pathlib.py:624(_parse_args)
        1    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\pathlib.py:991(__new__)
        2    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\pathlib.py:53(parse_parts)
        1    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\pathlib.py:1108(absolute)
        1    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:1000(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:813(__init__)
        2    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:869(format)
        2    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:606(format)
        2    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:1451(findCaller)
        2    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\ntpath.py:212(basename)
        5    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.fromstring}
        2    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\ntpath.py:178(split)
        1    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:794(_addHandlerRef)
        2    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\ntpath.py:201(splitext)
        5    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:1986(info)
        2    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:371(getMessage)
        7    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:1619(isEnabledFor)
        5    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:212(_acquireLock)
        1    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:1354(setLevel)
        1    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\pathlib.py:694(__fspath__)
        4    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\pathlib.py:135(splitroot)
        5    0.000    0.000    0.000    0.000 d:\Documents\2019Spring\RandomAlgorithm\Labs\Lab1\src\data_reader.py:33(add_item_to_set)
        2    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\genericpath.py:117(_splitext)
        4    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\ntpath.py:44(normcase)
        4    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\pathlib.py:684(__str__)
        2    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:584(usesTime)
        1    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\_bootlocale.py:11(getpreferredencoding)
        1    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:1309(_clear_cache)
        5    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:1373(info)
        1    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:842(createLock)
        2    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\ntpath.py:122(splitdrive)
        2    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:429(usesTime)
        1    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\ntpath.py:523(abspath)
        2    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:590(formatMessage)
        2    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:187(_checkLevel)
        2    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       10    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {built-in method nt.getpid}
        5    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:221(_releaseLock)
        1    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\pathlib.py:667(_format_parsed_parts)
        9    0.000    0.000    0.000    0.000 {built-in method sys.intern}
